YEAR,cropname,Yield,Location,ALLSKY_SFC_SW_DWN,CLOUD_AMT,CLRSKY_SFC_SW_DWN,PRECTOTCORR,PRECTOTCORR_SUM,PS,QV2M,T2M_MAX,T2M_RANGE,WS50M,WSC,NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),ANNUAL RAINFALL (Millimeters)
2004,Finger Millet,2,Khammam,18.94,54.33,22.94,0,643.36,99.45,14.47,45.48,32.9,4.83,4.83,62.96,109.42,26.31,45.73,10.73,18.66,1050
2005,Finger Millet,2,Khammam,18.23,62.05,22.74,5.27,1075.78,99.4,14.95,46.38,35.26,4.75,4.75,66.46,145.85,25.67,56.32,7.87,17.28,1437
2006,Finger Millet,1,Khammam,18.6,57.92,22.75,5.27,1049.41,99.44,15.08,44.83,33.98,4.39,4.39,61.98,137.12,28.93,64,9.1,20.12,1202
2007,Finger Millet,2,Khammam,18.68,56.46,22.63,0,870.12,99.38,14.77,46.44,34.82,4.7,4.7,60.24,154.98,26.05,67.01,13.71,35.26,1144
2008,Finger Millet,1.5,Khammam,18.44,55.6,22.46,5.27,1017.77,99.37,14.59,45.63,33.48,4.44,4.44,54.39,148.5,27.76,75.79,17.86,48.76,1444
2009,Finger Millet,0.5,Khammam,18.98,54.62,22.49,0,711.91,99.37,14.53,46.42,33.7,4.52,4.52,58.05,163.59,26.1,73.56,15.85,44.66,700
2010,Finger Millet,0,Khammam,17.67,62.75,22.51,5.27,1070.51,99.35,15.44,45.98,35.67,4.66,4.66,60.13,188.98,25.84,81.2,14.03,44.08,1662.6
2011,Finger Millet,0,Khammam,19,52.95,22.46,0,511.52,99.36,14.22,45.26,34.95,4.77,4.77,61.79,165.14,30.35,81.12,7.86,21,868.4
2012,Finger Millet,0,Khammam,18.28,57.88,22.42,0,822.66,99.35,14.22,46.25,35.91,4.82,4.82,71.9,157.25,21.62,47.29,6.48,14.16,1521.1
2013,Finger Millet,0,Khammam,17.85,59.15,22.29,5.27,1149.61,99.38,14.89,47.51,36.08,4.95,4.95,71.57,167.95,22.15,51.99,6.28,14.74,1503.2
2014,Finger Millet,0,Khammam,18.11,59.03,22.08,0,595.9,99.47,14.04,45.1,32.23,4.65,4.65,69.68,189.07,21.68,58.83,8.64,23.45,819.6
2015,Finger Millet,0,Khammam,18.44,57.45,22.12,0,516.8,99.52,14.1,48.05,36.1,4.62,4.62,61.06,219.55,28.63,102.95,10.31,37.05,997.1
1990,Chick Peas,0.4375,Khammam,18.13,68.1,22.89,0,896.48,99.38,14.89,45.9,32.36,5.21,5.21,66.94,82.8,27.34,33.82,5.72,7.07,1602
1991,Chick Peas,0.34783,Khammam,17.89,64.61,22.65,0,885.94,99.39,14.65,47.51,35.64,5.1,5.1,68.94,83.12,25.46,30.7,5.59,6.74,1156
1992,Chick Peas,0.30435,Khammam,18.65,55.73,22.3,0,785.74,99.44,13.92,46.01,35.23,4.8,4.8,69.91,94.24,25.79,34.76,4.3,5.8,1014
1993,Chick Peas,0,Khammam,18.65,61.21,22.67,0,627.54,99.44,13.98,46.9,35.5,4.77,4.77,74.43,89.5,21.41,25.75,4.16,5,895
1994,Chick Peas,0,Khammam,17.99,62.68,22.73,5.27,1028.32,99.4,14.47,46.8,35.17,4.88,4.88,73.6,102.61,21.59,30.11,4.81,6.71,1143
1995,Chick Peas,0,Khammam,17.83,61.94,22.29,5.27,1023.05,99.38,15.14,44.18,32.61,4.7,4.7,73.6,109.96,21.59,32.26,4.81,7.19,1106
1996,Chick Peas,0,Khammam,18.08,59.74,22.13,0,933.4,99.34,14.59,46.61,34.21,4.69,4.69,67.25,90.4,27.32,36.72,5.44,7.31,1152
1997,Chick Peas,0,Khammam,18.07,61.56,21.6,0,880.66,99.49,14.53,46.44,36.52,4.71,4.71,69.97,120.87,24.08,41.6,5.95,10.27,898
1998,Chick Peas,0,Khammam,18.04,56.02,21.62,0,896.48,99.38,15.32,47.36,36.47,4.6,4.6,66.2,114.24,28.21,48.69,5.58,9.63,1237
1999,Chick Peas,0.5,Khammam,18.88,49.19,22.46,0,516.8,99.32,13.85,45.57,34.93,4.89,4.89,66.2,117.73,28.21,50.18,5.58,9.93,1122
2000,Chick Peas,0.66667,Khammam,18.72,48.37,22.1,0,875.39,99.31,14.53,46.73,33.62,4.57,4.57,64.87,119.89,26.79,49.52,8.34,15.42,1284
2001,Chick Peas,1.14286,Khammam,18.06,61.38,22.79,0,722.46,99.35,14.34,46.81,34.47,4.81,4.81,61.53,108.5,30.77,54.26,7.7,13.57,908
2002,Chick Peas,0,Khammam,19.06,57.16,22.85,0,659.18,99.41,14.16,48.05,36.28,4.95,4.95,66.36,108.74,26.08,42.75,7.56,12.39,825
2003,Chick Peas,1.20833,Khammam,18.48,61.4,22.98,0,743.55,99.41,14.47,46.87,33.78,4.91,4.91,65.25,111.23,25.13,42.84,9.62,16.4,1181
2004,Chick Peas,0.9,Khammam,18.94,54.33,22.94,0,643.36,99.45,14.47,45.48,32.9,4.83,4.83,62.96,109.42,26.31,45.73,10.73,18.66,1050
2005,Chick Peas,1.45455,Khammam,18.23,62.05,22.74,5.27,1075.78,99.4,14.95,46.38,35.26,4.75,4.75,66.46,145.85,25.67,56.32,7.87,17.28,1437
2006,Chick Peas,1.36364,Khammam,18.6,57.92,22.75,5.27,1049.41,99.44,15.08,44.83,33.98,4.39,4.39,61.98,137.12,28.93,64,9.1,20.12,1202
2007,Chick Peas,1.42857,Khammam,18.68,56.46,22.63,0,870.12,99.38,14.77,46.44,34.82,4.7,4.7,60.24,154.98,26.05,67.01,13.71,35.26,1144
2008,Chick Peas,1.61111,Khammam,18.44,55.6,22.46,5.27,1017.77,99.37,14.59,45.63,33.48,4.44,4.44,54.39,148.5,27.76,75.79,17.86,48.76,1444
2009,Chick Peas,1.4,Khammam,18.98,54.62,22.49,0,711.91,99.37,14.53,46.42,33.7,4.52,4.52,58.05,163.59,26.1,73.56,15.85,44.66,700
2010,Chick Peas,1.36667,Khammam,17.67,62.75,22.51,5.27,1070.51,99.35,15.44,45.98,35.67,4.66,4.66,60.13,188.98,25.84,81.2,14.03,44.08,1662.6
2011,Chick Peas,0.88,Khammam,19,52.95,22.46,0,511.52,99.36,14.22,45.26,34.95,4.77,4.77,61.79,165.14,30.35,81.12,7.86,21,868.4
2012,Chick Peas,1.45455,Khammam,18.28,57.88,22.42,0,822.66,99.35,14.22,46.25,35.91,4.82,4.82,71.9,157.25,21.62,47.29,6.48,14.16,1521.1
2013,Chick Peas,1.66667,Khammam,17.85,59.15,22.29,5.27,1149.61,99.38,14.89,47.51,36.08,4.95,4.95,71.57,167.95,22.15,51.99,6.28,14.74,1503.2
2014,Chick Peas,1.5,Khammam,18.11,59.03,22.08,0,595.9,99.47,14.04,45.1,32.23,4.65,4.65,69.68,189.07,21.68,58.83,8.64,23.45,819.6
2015,Chick Peas,0,Khammam,18.44,57.45,22.12,0,516.8,99.52,14.1,48.05,36.1,4.62,4.62,61.06,219.55,28.63,102.95,10.31,37.05,997.1
1990,Pigeon Peas,0.50109,Khammam,18.13,68.1,22.89,0,896.48,99.38,14.89,45.9,32.36,5.21,5.21,66.94,82.8,27.34,33.82,5.72,7.07,1602
1991,Pigeon Peas,0.48487,Khammam,17.89,64.61,22.65,0,885.94,99.39,14.65,47.51,35.64,5.1,5.1,68.94,83.12,25.46,30.7,5.59,6.74,1156
1992,Pigeon Peas,0.36995,Khammam,18.65,55.73,22.3,0,785.74,99.44,13.92,46.01,35.23,4.8,4.8,69.91,94.24,25.79,34.76,4.3,5.8,1014
1993,Pigeon Peas,0.48276,Khammam,18.65,61.21,22.67,0,627.54,99.44,13.98,46.9,35.5,4.77,4.77,74.43,89.5,21.41,25.75,4.16,5,895
1994,Pigeon Peas,0.51852,Khammam,17.99,62.68,22.73,5.27,1028.32,99.4,14.47,46.8,35.17,4.88,4.88,73.6,102.61,21.59,30.11,4.81,6.71,1143
1995,Pigeon Peas,0.4,Khammam,17.83,61.94,22.29,5.27,1023.05,99.38,15.14,44.18,32.61,4.7,4.7,73.6,109.96,21.59,32.26,4.81,7.19,1106
1996,Pigeon Peas,0.48148,Khammam,18.08,59.74,22.13,0,933.4,99.34,14.59,46.61,34.21,4.69,4.69,67.25,90.4,27.32,36.72,5.44,7.31,1152
1997,Pigeon Peas,0.30769,Khammam,18.07,61.56,21.6,0,880.66,99.49,14.53,46.44,36.52,4.71,4.71,69.97,120.87,24.08,41.6,5.95,10.27,898
1998,Pigeon Peas,0.5,Khammam,18.04,56.02,21.62,0,896.48,99.38,15.32,47.36,36.47,4.6,4.6,66.2,114.24,28.21,48.69,5.58,9.63,1237
1999,Pigeon Peas,0.57801,Khammam,18.88,49.19,22.46,0,516.8,99.32,13.85,45.57,34.93,4.89,4.89,66.2,117.73,28.21,50.18,5.58,9.93,1122
2000,Pigeon Peas,0.54415,Khammam,18.72,48.37,22.1,0,875.39,99.31,14.53,46.73,33.62,4.57,4.57,64.87,119.89,26.79,49.52,8.34,15.42,1284
2001,Pigeon Peas,0.47483,Khammam,18.06,61.38,22.79,0,722.46,99.35,14.34,46.81,34.47,4.81,4.81,61.53,108.5,30.77,54.26,7.7,13.57,908
2002,Pigeon Peas,0.44,Khammam,19.06,57.16,22.85,0,659.18,99.41,14.16,48.05,36.28,4.95,4.95,66.36,108.74,26.08,42.75,7.56,12.39,825
2003,Pigeon Peas,0.52788,Khammam,18.48,61.4,22.98,0,743.55,99.41,14.47,46.87,33.78,4.91,4.91,65.25,111.23,25.13,42.84,9.62,16.4,1181
2004,Pigeon Peas,0.5679,Khammam,18.94,54.33,22.94,0,643.36,99.45,14.47,45.48,32.9,4.83,4.83,62.96,109.42,26.31,45.73,10.73,18.66,1050
2005,Pigeon Peas,0.61705,Khammam,18.23,62.05,22.74,5.27,1075.78,99.4,14.95,46.38,35.26,4.75,4.75,66.46,145.85,25.67,56.32,7.87,17.28,1437
2006,Pigeon Peas,0.54494,Khammam,18.6,57.92,22.75,5.27,1049.41,99.44,15.08,44.83,33.98,4.39,4.39,61.98,137.12,28.93,64,9.1,20.12,1202
2007,Pigeon Peas,0.57605,Khammam,18.68,56.46,22.63,0,870.12,99.38,14.77,46.44,34.82,4.7,4.7,60.24,154.98,26.05,67.01,13.71,35.26,1144
2008,Pigeon Peas,0.59605,Khammam,18.44,55.6,22.46,5.27,1017.77,99.37,14.59,45.63,33.48,4.44,4.44,54.39,148.5,27.76,75.79,17.86,48.76,1444
2009,Pigeon Peas,0.4778,Khammam,18.98,54.62,22.49,0,711.91,99.37,14.53,46.42,33.7,4.52,4.52,58.05,163.59,26.1,73.56,15.85,44.66,700
2010,Pigeon Peas,0.37189,Khammam,17.67,62.75,22.51,5.27,1070.51,99.35,15.44,45.98,35.67,4.66,4.66,60.13,188.98,25.84,81.2,14.03,44.08,1662.6
2011,Pigeon Peas,0.37851,Khammam,19,52.95,22.46,0,511.52,99.36,14.22,45.26,34.95,4.77,4.77,61.79,165.14,30.35,81.12,7.86,21,868.4
2012,Pigeon Peas,0.39943,Khammam,18.28,57.88,22.42,0,822.66,99.35,14.22,46.25,35.91,4.82,4.82,71.9,157.25,21.62,47.29,6.48,14.16,1521.1
2013,Pigeon Peas,0.57282,Khammam,17.85,59.15,22.29,5.27,1149.61,99.38,14.89,47.51,36.08,4.95,4.95,71.57,167.95,22.15,51.99,6.28,14.74,1503.2
2014,Pigeon Peas,0.52041,Khammam,18.11,59.03,22.08,0,595.9,99.47,14.04,45.1,32.23,4.65,4.65,69.68,189.07,21.68,58.83,8.64,23.45,819.6
2015,Pigeon Peas,0.57692,Khammam,18.44,57.45,22.12,0,516.8,99.52,14.1,48.05,36.1,4.62,4.62,61.06,219.55,28.63,102.95,10.31,37.05,997.1
1990,Minor Pulse,0.31445,Khammam,18.13,68.1,22.89,0,896.48,99.38,14.89,45.9,32.36,5.21,5.21,66.94,82.8,27.34,33.82,5.72,7.07,1602
1991,Minor Pulse,0.43036,Khammam,17.89,64.61,22.65,0,885.94,99.39,14.65,47.51,35.64,5.1,5.1,68.94,83.12,25.46,30.7,5.59,6.74,1156
1992,Minor Pulse,0.45357,Khammam,18.65,55.73,22.3,0,785.74,99.44,13.92,46.01,35.23,4.8,4.8,69.91,94.24,25.79,34.76,4.3,5.8,1014
1993,Minor Pulse,0.41975,Khammam,18.65,61.21,22.67,0,627.54,99.44,13.98,46.9,35.5,4.77,4.77,74.43,89.5,21.41,25.75,4.16,5,895
1994,Minor Pulse,0.33333,Khammam,17.99,62.68,22.73,5.27,1028.32,99.4,14.47,46.8,35.17,4.88,4.88,73.6,102.61,21.59,30.11,4.81,6.71,1143
1995,Minor Pulse,0.35964,Khammam,17.83,61.94,22.29,5.27,1023.05,99.38,15.14,44.18,32.61,4.7,4.7,73.6,109.96,21.59,32.26,4.81,7.19,1106
1996,Minor Pulse,0.47413,Khammam,18.08,59.74,22.13,0,933.4,99.34,14.59,46.61,34.21,4.69,4.69,67.25,90.4,27.32,36.72,5.44,7.31,1152
1997,Minor Pulse,0.43556,Khammam,18.07,61.56,21.6,0,880.66,99.49,14.53,46.44,36.52,4.71,4.71,69.97,120.87,24.08,41.6,5.95,10.27,898
1998,Minor Pulse,0.49024,Khammam,18.04,56.02,21.62,0,896.48,99.38,15.32,47.36,36.47,4.6,4.6,66.2,114.24,28.21,48.69,5.58,9.63,1237
1999,Minor Pulse,0.47019,Khammam,18.88,49.19,22.46,0,516.8,99.32,13.85,45.57,34.93,4.89,4.89,66.2,117.73,28.21,50.18,5.58,9.93,1122
2000,Minor Pulse,0.59748,Khammam,18.72,48.37,22.1,0,875.39,99.31,14.53,46.73,33.62,4.57,4.57,64.87,119.89,26.79,49.52,8.34,15.42,1284
2001,Minor Pulse,0.37979,Khammam,18.06,61.38,22.79,0,722.46,99.35,14.34,46.81,34.47,4.81,4.81,61.53,108.5,30.77,54.26,7.7,13.57,908
2002,Minor Pulse,0.35873,Khammam,19.06,57.16,22.85,0,659.18,99.41,14.16,48.05,36.28,4.95,4.95,66.36,108.74,26.08,42.75,7.56,12.39,825
2003,Minor Pulse,0.45543,Khammam,18.48,61.4,22.98,0,743.55,99.41,14.47,46.87,33.78,4.91,4.91,65.25,111.23,25.13,42.84,9.62,16.4,1181
2004,Minor Pulse,0.52199,Khammam,18.94,54.33,22.94,0,643.36,99.45,14.47,45.48,32.9,4.83,4.83,62.96,109.42,26.31,45.73,10.73,18.66,1050
2005,Minor Pulse,0.59916,Khammam,18.23,62.05,22.74,5.27,1075.78,99.4,14.95,46.38,35.26,4.75,4.75,66.46,145.85,25.67,56.32,7.87,17.28,1437
2006,Minor Pulse,0.67269,Khammam,18.6,57.92,22.75,5.27,1049.41,99.44,15.08,44.83,33.98,4.39,4.39,61.98,137.12,28.93,64,9.1,20.12,1202
2007,Minor Pulse,0.6841,Khammam,18.68,56.46,22.63,0,870.12,99.38,14.77,46.44,34.82,4.7,4.7,60.24,154.98,26.05,67.01,13.71,35.26,1144
2008,Minor Pulse,0.58103,Khammam,18.44,55.6,22.46,5.27,1017.77,99.37,14.59,45.63,33.48,4.44,4.44,54.39,148.5,27.76,75.79,17.86,48.76,1444
2009,Minor Pulse,0.41621,Khammam,18.98,54.62,22.49,0,711.91,99.37,14.53,46.42,33.7,4.52,4.52,58.05,163.59,26.1,73.56,15.85,44.66,700
2010,Minor Pulse,0.63942,Khammam,17.67,62.75,22.51,5.27,1070.51,99.35,15.44,45.98,35.67,4.66,4.66,60.13,188.98,25.84,81.2,14.03,44.08,1662.6
2011,Minor Pulse,0.77416,Khammam,19,52.95,22.46,0,511.52,99.36,14.22,45.26,34.95,4.77,4.77,61.79,165.14,30.35,81.12,7.86,21,868.4
2012,Minor Pulse,0.76476,Khammam,18.28,57.88,22.42,0,822.66,99.35,14.22,46.25,35.91,4.82,4.82,71.9,157.25,21.62,47.29,6.48,14.16,1521.1
2013,Minor Pulse,0.85426,Khammam,17.85,59.15,22.29,5.27,1149.61,99.38,14.89,47.51,36.08,4.95,4.95,71.57,167.95,22.15,51.99,6.28,14.74,1503.2
2014,Minor Pulse,0.60218,Khammam,18.11,59.03,22.08,0,595.9,99.47,14.04,45.1,32.23,4.65,4.65,69.68,189.07,21.68,58.83,8.64,23.45,819.6
2015,Minor Pulse,0.78748,Khammam,18.44,57.45,22.12,0,516.8,99.52,14.1,48.05,36.1,4.62,4.62,61.06,219.55,28.63,102.95,10.31,37.05,997.1
1990,Ground Nut,1.15896,Khammam,18.13,68.1,22.89,0,896.48,99.38,14.89,45.9,32.36,5.21,5.21,66.94,82.8,27.34,33.82,5.72,7.07,1602
1991,Ground Nut,1.10597,Khammam,17.89,64.61,22.65,0,885.94,99.39,14.65,47.51,35.64,5.1,5.1,68.94,83.12,25.46,30.7,5.59,6.74,1156
1992,Ground Nut,1.27629,Khammam,18.65,55.73,22.3,0,785.74,99.44,13.92,46.01,35.23,4.8,4.8,69.91,94.24,25.79,34.76,4.3,5.8,1014
1993,Ground Nut,0.97143,Khammam,18.65,61.21,22.67,0,627.54,99.44,13.98,46.9,35.5,4.77,4.77,74.43,89.5,21.41,25.75,4.16,5,895
1994,Ground Nut,1.23077,Khammam,17.99,62.68,22.73,5.27,1028.32,99.4,14.47,46.8,35.17,4.88,4.88,73.6,102.61,21.59,30.11,4.81,6.71,1143
1995,Ground Nut,1.13636,Khammam,17.83,61.94,22.29,5.27,1023.05,99.38,15.14,44.18,32.61,4.7,4.7,73.6,109.96,21.59,32.26,4.81,7.19,1106
1996,Ground Nut,1.41176,Khammam,18.08,59.74,22.13,0,933.4,99.34,14.59,46.61,34.21,4.69,4.69,67.25,90.4,27.32,36.72,5.44,7.31,1152
1997,Ground Nut,1.21053,Khammam,18.07,61.56,21.6,0,880.66,99.49,14.53,46.44,36.52,4.71,4.71,69.97,120.87,24.08,41.6,5.95,10.27,898
1998,Ground Nut,1.21429,Khammam,18.04,56.02,21.62,0,896.48,99.38,15.32,47.36,36.47,4.6,4.6,66.2,114.24,28.21,48.69,5.58,9.63,1237
1999,Ground Nut,1.4994,Khammam,18.88,49.19,22.46,0,516.8,99.32,13.85,45.57,34.93,4.89,4.89,66.2,117.73,28.21,50.18,5.58,9.93,1122
2000,Ground Nut,1.44832,Khammam,18.72,48.37,22.1,0,875.39,99.31,14.53,46.73,33.62,4.57,4.57,64.87,119.89,26.79,49.52,8.34,15.42,1284
2001,Ground Nut,1.66225,Khammam,18.06,61.38,22.79,0,722.46,99.35,14.34,46.81,34.47,4.81,4.81,61.53,108.5,30.77,54.26,7.7,13.57,908
2002,Ground Nut,1.25,Khammam,19.06,57.16,22.85,0,659.18,99.41,14.16,48.05,36.28,4.95,4.95,66.36,108.74,26.08,42.75,7.56,12.39,825
2003,Ground Nut,1.22321,Khammam,18.48,61.4,22.98,0,743.55,99.41,14.47,46.87,33.78,4.91,4.91,65.25,111.23,25.13,42.84,9.62,16.4,1181
2004,Ground Nut,1.31023,Khammam,18.94,54.33,22.94,0,643.36,99.45,14.47,45.48,32.9,4.83,4.83,62.96,109.42,26.31,45.73,10.73,18.66,1050
2005,Ground Nut,1.37313,Khammam,18.23,62.05,22.74,5.27,1075.78,99.4,14.95,46.38,35.26,4.75,4.75,66.46,145.85,25.67,56.32,7.87,17.28,1437
2006,Ground Nut,1.61754,Khammam,18.6,57.92,22.75,5.27,1049.41,99.44,15.08,44.83,33.98,4.39,4.39,61.98,137.12,28.93,64,9.1,20.12,1202
2007,Ground Nut,1.45358,Khammam,18.68,56.46,22.63,0,870.12,99.38,14.77,46.44,34.82,4.7,4.7,60.24,154.98,26.05,67.01,13.71,35.26,1144
2008,Ground Nut,1.6,Khammam,18.44,55.6,22.46,5.27,1017.77,99.37,14.59,45.63,33.48,4.44,4.44,54.39,148.5,27.76,75.79,17.86,48.76,1444
2009,Ground Nut,1.40274,Khammam,18.98,54.62,22.49,0,711.91,99.37,14.53,46.42,33.7,4.52,4.52,58.05,163.59,26.1,73.56,15.85,44.66,700
2010,Ground Nut,1.88281,Khammam,17.67,62.75,22.51,5.27,1070.51,99.35,15.44,45.98,35.67,4.66,4.66,60.13,188.98,25.84,81.2,14.03,44.08,1662.6
2011,Ground Nut,1.76075,Khammam,19,52.95,22.46,0,511.52,99.36,14.22,45.26,34.95,4.77,4.77,61.79,165.14,30.35,81.12,7.86,21,868.4
2012,Ground Nut,1.60522,Khammam,18.28,57.88,22.42,0,822.66,99.35,14.22,46.25,35.91,4.82,4.82,71.9,157.25,21.62,47.29,6.48,14.16,1521.1
2013,Ground Nut,1.66091,Khammam,17.85,59.15,22.29,5.27,1149.61,99.38,14.89,47.51,36.08,4.95,4.95,71.57,167.95,22.15,51.99,6.28,14.74,1503.2
2014,Ground Nut,1.87443,Khammam,18.11,59.03,22.08,0,595.9,99.47,14.04,45.1,32.23,4.65,4.65,69.68,189.07,21.68,58.83,8.64,23.45,819.6
2015,Ground Nut,2.7035,Khammam,18.44,57.45,22.12,0,516.8,99.52,14.1,48.05,36.1,4.62,4.62,61.06,219.55,28.63,102.95,10.31,37.05,997.1
1990,Sesamum,0.08983,Khammam,18.13,68.1,22.89,0,896.48,99.38,14.89,45.9,32.36,5.21,5.21,66.94,82.8,27.34,33.82,5.72,7.07,1602
1991,Sesamum,0.13373,Khammam,17.89,64.61,22.65,0,885.94,99.39,14.65,47.51,35.64,5.1,5.1,68.94,83.12,25.46,30.7,5.59,6.74,1156
1992,Sesamum,0.23357,Khammam,18.65,55.73,22.3,0,785.74,99.44,13.92,46.01,35.23,4.8,4.8,69.91,94.24,25.79,34.76,4.3,5.8,1014
1993,Sesamum,0.18182,Khammam,18.65,61.21,22.67,0,627.54,99.44,13.98,46.9,35.5,4.77,4.77,74.43,89.5,21.41,25.75,4.16,5,895
1994,Sesamum,0.09091,Khammam,17.99,62.68,22.73,5.27,1028.32,99.4,14.47,46.8,35.17,4.88,4.88,73.6,102.61,21.59,30.11,4.81,6.71,1143
1995,Sesamum,0.11111,Khammam,17.83,61.94,22.29,5.27,1023.05,99.38,15.14,44.18,32.61,4.7,4.7,73.6,109.96,21.59,32.26,4.81,7.19,1106
1996,Sesamum,0.22222,Khammam,18.08,59.74,22.13,0,933.4,99.34,14.59,46.61,34.21,4.69,4.69,67.25,90.4,27.32,36.72,5.44,7.31,1152
1997,Sesamum,0.11111,Khammam,18.07,61.56,21.6,0,880.66,99.49,14.53,46.44,36.52,4.71,4.71,69.97,120.87,24.08,41.6,5.95,10.27,898
1998,Sesamum,0.1,Khammam,18.04,56.02,21.62,0,896.48,99.38,15.32,47.36,36.47,4.6,4.6,66.2,114.24,28.21,48.69,5.58,9.63,1237
1999,Sesamum,0.14891,Khammam,18.88,49.19,22.46,0,516.8,99.32,13.85,45.57,34.93,4.89,4.89,66.2,117.73,28.21,50.18,5.58,9.93,1122
2000,Sesamum,0.1608,Khammam,18.72,48.37,22.1,0,875.39,99.31,14.53,46.73,33.62,4.57,4.57,64.87,119.89,26.79,49.52,8.34,15.42,1284
2001,Sesamum,0.1547,Khammam,18.06,61.38,22.79,0,722.46,99.35,14.34,46.81,34.47,4.81,4.81,61.53,108.5,30.77,54.26,7.7,13.57,908
2002,Sesamum,0.1,Khammam,19.06,57.16,22.85,0,659.18,99.41,14.16,48.05,36.28,4.95,4.95,66.36,108.74,26.08,42.75,7.56,12.39,825
2003,Sesamum,0.15715,Khammam,18.48,61.4,22.98,0,743.55,99.41,14.47,46.87,33.78,4.91,4.91,65.25,111.23,25.13,42.84,9.62,16.4,1181
2004,Sesamum,0.23551,Khammam,18.94,54.33,22.94,0,643.36,99.45,14.47,45.48,32.9,4.83,4.83,62.96,109.42,26.31,45.73,10.73,18.66,1050
2005,Sesamum,0.25529,Khammam,18.23,62.05,22.74,5.27,1075.78,99.4,14.95,46.38,35.26,4.75,4.75,66.46,145.85,25.67,56.32,7.87,17.28,1437
2006,Sesamum,0.22423,Khammam,18.6,57.92,22.75,5.27,1049.41,99.44,15.08,44.83,33.98,4.39,4.39,61.98,137.12,28.93,64,9.1,20.12,1202
2007,Sesamum,0.25292,Khammam,18.68,56.46,22.63,0,870.12,99.38,14.77,46.44,34.82,4.7,4.7,60.24,154.98,26.05,67.01,13.71,35.26,1144
2008,Sesamum,0.30709,Khammam,18.44,55.6,22.46,5.27,1017.77,99.37,14.59,45.63,33.48,4.44,4.44,54.39,148.5,27.76,75.79,17.86,48.76,1444
2009,Sesamum,0.17391,Khammam,18.98,54.62,22.49,0,711.91,99.37,14.53,46.42,33.7,4.52,4.52,58.05,163.59,26.1,73.56,15.85,44.66,700
2010,Sesamum,0.19734,Khammam,17.67,62.75,22.51,5.27,1070.51,99.35,15.44,45.98,35.67,4.66,4.66,60.13,188.98,25.84,81.2,14.03,44.08,1662.6
2011,Sesamum,0.20661,Khammam,19,52.95,22.46,0,511.52,99.36,14.22,45.26,34.95,4.77,4.77,61.79,165.14,30.35,81.12,7.86,21,868.4
2012,Sesamum,0.20492,Khammam,18.28,57.88,22.42,0,822.66,99.35,14.22,46.25,35.91,4.82,4.82,71.9,157.25,21.62,47.29,6.48,14.16,1521.1
2013,Sesamum,0.24796,Khammam,17.85,59.15,22.29,5.27,1149.61,99.38,14.89,47.51,36.08,4.95,4.95,71.57,167.95,22.15,51.99,6.28,14.74,1503.2
2014,Sesamum,0.14159,Khammam,18.11,59.03,22.08,0,595.9,99.47,14.04,45.1,32.23,4.65,4.65,69.68,189.07,21.68,58.83,8.64,23.45,819.6
2015,Sesamum,0.28889,Khammam,18.44,57.45,22.12,0,516.8,99.52,14.1,48.05,36.1,4.62,4.62,61.06,219.55,28.63,102.95,10.31,37.05,997.1
1990,Castor,0.5,Khammam,18.13,68.1,22.89,0,896.48,99.38,14.89,45.9,32.36,5.21,5.21,66.94,82.8,27.34,33.82,5.72,7.07,1602
1991,Castor,0,Khammam,17.89,64.61,22.65,0,885.94,99.39,14.65,47.51,35.64,5.1,5.1,68.94,83.12,25.46,30.7,5.59,6.74,1156
1992,Castor,0,Khammam,18.65,55.73,22.3,0,785.74,99.44,13.92,46.01,35.23,4.8,4.8,69.91,94.24,25.79,34.76,4.3,5.8,1014
1993,Castor,0,Khammam,18.65,61.21,22.67,0,627.54,99.44,13.98,46.9,35.5,4.77,4.77,74.43,89.5,21.41,25.75,4.16,5,895
1994,Castor,0,Khammam,17.99,62.68,22.73,5.27,1028.32,99.4,14.47,46.8,35.17,4.88,4.88,73.6,102.61,21.59,30.11,4.81,6.71,1143
1995,Castor,0,Khammam,17.83,61.94,22.29,5.27,1023.05,99.38,15.14,44.18,32.61,4.7,4.7,73.6,109.96,21.59,32.26,4.81,7.19,1106
1996,Castor,0,Khammam,18.08,59.74,22.13,0,933.4,99.34,14.59,46.61,34.21,4.69,4.69,67.25,90.4,27.32,36.72,5.44,7.31,1152
1997,Castor,0,Khammam,18.07,61.56,21.6,0,880.66,99.49,14.53,46.44,36.52,4.71,4.71,69.97,120.87,24.08,41.6,5.95,10.27,898
1998,Castor,0,Khammam,18.04,56.02,21.62,0,896.48,99.38,15.32,47.36,36.47,4.6,4.6,66.2,114.24,28.21,48.69,5.58,9.63,1237
1999,Castor,0,Khammam,18.88,49.19,22.46,0,516.8,99.32,13.85,45.57,34.93,4.89,4.89,66.2,117.73,28.21,50.18,5.58,9.93,1122
2000,Castor,0.5,Khammam,18.72,48.37,22.1,0,875.39,99.31,14.53,46.73,33.62,4.57,4.57,64.87,119.89,26.79,49.52,8.34,15.42,1284
2001,Castor,0,Khammam,18.06,61.38,22.79,0,722.46,99.35,14.34,46.81,34.47,4.81,4.81,61.53,108.5,30.77,54.26,7.7,13.57,908
